DateTime,Financial_Year,Voucher_No,Voucher_Type,Branch,Cost_Center,Party_Code,Party_Name,GSTIN,State,Item_Code,Item_Name,HSN_Code,Quantity,Rate,Taxable_Value,GST_Rate_%,CGST,SGST,IGST,Invoice_Total,Payment_Mode,Payment_Status,Entered_By,Record_Status,Is_Anomaly,Anomaly_Type,Anomaly_Severity,Expected_Value,Actual_Value,Audit_Reason
20-04-2026,2024-25,VCH-000011,Purchase,Bengaluru Branch,Warehouse,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM001,Business Laptop,8471,6,33862.44,203174.64,18,0.0,0.0,36571.44,INV-0000011,UPI,Cleared,admin,Normal,1,Unusual Voucher Sequence,Medium,,,Voucher sequence is inconsistent with expected chronological numbering.
14-03-2027,2025-26,VCH-000012,Purchase,Pune Branch,Administration,SUP003,Nova Electronics,07SUPPL3456C1Z3,Delhi,ITM008,1TB SSD,8523,15,5969.98,89549.7,18,0.0,0.0,16118.95,INV-0000012,Cash,Partly Paid,accounts2,Normal,1,Round Amount,Low,,,Large exact-round transaction warrants manual review.
20-09-2026,2025-26,VCH-000013,Sales,Ahmedabad Branch,Warehouse,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM007,Laser Printer,8443,6,18512.04,111072.24,18,9996.5,9996.5,0.0,INV-0000013,Cash,Pending,sales2,Normal,0,,Normal,,,
08-10-2026,2024-25,VCH-000014,Sales,Ahmedabad Branch,Warehouse,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM001,Business Laptop,8471,13,52800.31,686404.03,18,61776.36,61776.36,0.0,INV-0000014,UPI,Cleared,accounts1,Normal,0,,Normal,,,
06-09-2026,2026-27,VCH-000015,Payment,Ahmedabad Branch,Warehouse,SUP003,Nova Electronics,07SUPPL3456C1Z3,Delhi,ITM005,Mechanical Keyboard,8471,1,0.0,36471.27,18,0.0,0.0,0.0,INV-0000015,RTGS,Cleared,sales2,ANOMALY,0,,Normal,,,
26-10-2026,2025-26,VCH-000016,Payment,Mumbai HO,IT Support,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM001,Business Laptop,8471,1,0.0,105220.54,18,0.0,0.0,0.0,INV-0000016,Bank,Cleared,sales2,Normal,1,Duplicate Payment,High,,,Payment pattern is consistent with a duplicate settlement.
10-04-2026,2025-26,VCH-000017,Receipt,Mumbai HO,Administration,CUST006,Metro Office Mart,33ABCDE6789L1Z0,Tamil Nadu,ITM011,Network Switch,8517,1,0.0,51414.51,18,0.0,0.0,0.0,INV-0000017,UPI,Pending,sales2,Normal,0,,Normal,,,
03-07-2025,2026-27,VCH-000018,Sales,Bengaluru Branch,Administration,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM006,Wireless Mouse,8471,5,1451.68,7258.4,18,653.26,653.26,0.0,INV-0000018,Bank,Cleared,admin,Normal,1,Ledger Imbalance,Critical,,,Debit/credit relationship does not reconcile.
05-12-2026,2025-26,VCH-000019,Journal,Ahmedabad Branch,Administration,,,,,ITM003,24-inch Monitor,8528,1,0.0,70148.11,18,0.0,0.0,0.0,INV-0000019,NEFT,Pending,sales2,Normal,0,,Normal,,,
23-02-2026,2024-25,VCH-000020,Payment,Pune Branch,Warehouse,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM005,Mechanical Keyboard,8471,1,0.0,49891.97,18,0.0,0.0,0.0,INV-0000020,Cash,Partly Paid,accounts1,Normal,0,,Normal,,,
01-04-2026,2024-25,VCH-000021,Receipt,Mumbai HO,IT Support,CUST003,City Systems,29ABCDE3456H1Z3,Karnataka,ITM010,1080p Webcam,8525,1,0.0,10097.92,18,0.0,0.0,0.0,INV-0000021,NEFT,Cleared,sales2,Normal,1,Missing Reference,Medium,,,Required supporting reference is absent.
27-12-2025,2025-26,VCH-000022,Purchase,Ahmedabad Branch,Purchase,SUP002,Metro Wholesale,24SUPPL2345B1Z4,Gujarat,ITM012,UPS 1KVA,8504,6,4716.15,28296.9,18,0.0,0.0,5093.44,INV-0000022,Bank,Cleared,admin,Normal,0,,Normal,,,
12-08-2025,2024-25,VCH-000023,Purchase Return,Pune Branch,IT Support,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM007,Laser Printer,8443,4,12854.03,-51416.12,18,0.0,0.0,-9254.9,INV-0000023,RTGS,Cleared,sales1,Normal,1,Unusual Amount,Medium,,,Transaction amount is statistically unusual compared with the baseline.
06-02-2027,2025-26,VCH-000024,Sales,Ahmedabad Branch,Sales,CUST007,Nova Digital,36ABCDE7890M1Z9,Telangana,ITM007,Laser Printer,8443,6,16023.49,96140.94,18,0.0,0.0,17305.37,INV-0000024,RTGS,Cleared,purchase1,Normal,0,,Normal,,,
23-10-2026,2024-25,VCH-000025,Purchase,Pune Branch,Warehouse,SUP005,Shree Computer Supplies,33SUPPL5678E1Z1,Tamil Nadu,ITM006,Wireless Mouse,8471,12,944.59,11335.08,18,0.0,0.0,2040.31,INV-0000025,RTGS,Cleared,admin,Normal,0,,Normal,,,
15-07-2026,2024-25,VCH-000026,Purchase,Ahmedabad Branch,Warehouse,SUP006,Western Tech Imports,27SUPPL6789F1Z0,Maharashtra,ITM012,UPS 1KVA,8504,14,4869.4,68171.6,18,6135.44,6135.44,0.0,INV-0000026,NEFT,Cleared,admin,Normal,0,,Normal,,,
19-01-2026,2024-25,VCH-000027,Sales,Mumbai HO,Administration,CUST006,Metro Office Mart,33ABCDE6789L1Z0,Tamil Nadu,ITM004,27-inch Monitor,8528,8,19112.45,152899.6,18,0.0,0.0,27521.93,INV-0000027,Credit,Cleared,admin,Normal,0,,Normal,,,
22-11-2026,2025-26,VCH-000028,Purchase,Ahmedabad Branch,Administration,SUP001,Prime Components,27SUPPL1234A1Z5,Maharashtra,ITM010,1080p Webcam,8525,7,2866.98,20068.86,18,1806.2,1806.2,0.0,INV-0000028,Cash,Pending,sales1,Normal,1,Missing Reference,Medium,,,Required supporting reference is absent.
04-05-2026,2025-26,VCH-000029,Sales,Pune Branch,Purchase,CUST002,Bright Retail,24ABCDE2345G1Z4,Gujarat,ITM011,Network Switch,8517,11,8263.66,90900.26,18,0.0,0.0,16362.05,INV-0000029,Cash,Cleared,accounts1,Normal,1,Suspicious User Activity,High,,,Transaction is associated with an unusual user/activity pattern.
18-02-2026,2026-27,VCH-000030,Receipt,Bengaluru Branch,IT Support,CUST004,Delta Distributors,07ABCDE4567J1Z2,Delhi,ITM009,Wi-Fi Router,8517,1,0.0,161073.78,18,0.0,0.0,0.0,INV-0000030,Bank,Partly Paid,accounts2,Normal,0,,Normal,,,
23-02-2026,2024-25,VCH-000031,Journal,Pune Branch,Administration,,,,,ITM012,UPS 1KVA,8504,1,0.0,168071.05,18,0.0,0.0,0.0,INV-0000031,Bank,Partly Paid,sales2,Normal,0,,Normal,,,
13-09-2025,2024-25,VCH-000032,Debit Note,Mumbai HO,IT Support,CUST005,Evergreen Solutions,27ABCDE5678K1Z1,Maharashtra,ITM007,Laser Printer,8443,1,16871.97,16871.97,18,1518.48,1518.48,0.0,INV-0000032,NEFT,Cleared,purchase1,Normal,0,,Normal,,,
07-06-2025,2024-25,VCH-000033,Purchase,Pune Branch,Administration,SUP003,Nova Electronics,07SUPPL3456C1Z3,Delhi,ITM011,Network Switch,8517,5,5731.09,28655.45,18,0.0,0.0,5157.98,INV-0000033,RTGS,Cleared,admin,Normal,0,,Normal,,,
10-05-2026,2025-26,VCH-000034,Sales,Ahmedabad Branch,Warehouse,CUST003,City Systems,29ABCDE3456H1Z3,Karnataka,ITM004,27-inch Monitor,8528,15,19153.78,287306.7,18,0.0,0.0,51715.21,INV-0000034,UPI,Partly Paid,purchase1,Normal,0,,Normal,,,
09-01-2027,2025-26,VCH-000035,Payment,Bengaluru Branch,Administration,SUP001,Prime Components,27SUPPL1234A1Z5,Maharashtra,ITM011,Network Switch,8517,1,0.0,69736.93,18,0.0,0.0,0.0,INV-0000035,NEFT,Cleared,sales2,Normal,0,,Normal,,,
17-05-2025,2025-26,VCH-000036,Sales,Bengaluru Branch,Purchase,CUST008,Prime Business Hub,08ABCDE8901N1Z8,Rajasthan,ITM001,Business Laptop,8471,6,58259.12,349554.72,18,0.0,0.0,62919.85,INV-0000036,Cash,Cleared,accounts1,Normal,0,,Normal,,,
18-12-2026,2024-25,VCH-000037,Sales,Ahmedabad Branch,Administration,CUST006,Metro Office Mart,33ABCDE6789L1Z0,Tamil Nadu,ITM002,Gaming Laptop,8471,12,92143.21,1105718.52,18,0.0,0.0,199029.33,INV-0000037,UPI,Cleared,sales1,Normal,0,,Normal,,,
26-11-2026,2025-26,VCH-000038,Journal,Pune Branch,Purchase,,,,,ITM001,Business Laptop,8471,1,0.0,163997.24,18,0.0,0.0,0.0,INV-0000038,Cash,Pending,accounts1,Normal,0,,Normal,,,
20-10-2025,2025-26,VCH-000039,Sales,Mumbai HO,Sales,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM002,Gaming Laptop,8471,14,100963.91,1413494.74,18,127214.53,127214.53,0.0,INV-0000039,Cash,Cleared,sales2,Normal,0,,Normal,,,
06-07-2026,2024-25,VCH-000040,Sales,Pune Branch,IT Support,CUST002,Bright Retail,24ABCDE2345G1Z4,Gujarat,ITM005,Mechanical Keyboard,8471,14,3997.23,55961.22,18,0.0,0.0,10073.02,INV-0000040,Cash,Cleared,purchase1,Normal,0,,Normal,,,
30-07-2025,2025-26,VCH-000041,Debit Note,Bengaluru Branch,Warehouse,CUST004,Delta Distributors,07ABCDE4567J1Z2,Delhi,ITM012,UPS 1KVA,8504,1,7090.49,7090.49,18,0.0,0.0,1276.29,INV-0000041,NEFT,Cleared,accounts1,Normal,1,Suspicious User Activity,High,,,Transaction is associated with an unusual user/activity pattern.
06-10-2026,2024-25,VCH-000042,Sales,Bengaluru Branch,Sales,CUST007,Nova Digital,36ABCDE7890M1Z9,Telangana,ITM011,Network Switch,8517,12,9137.49,109649.88,18,0.0,0.0,19736.98,INV-0000042,Credit,Cleared,sales2,Normal,0,,Normal,,,
25-08-2026,2024-25,VCH-000043,Payment,Ahmedabad Branch,IT Support,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM011,Network Switch,8517,1,0.0,19876.81,18,0.0,0.0,0.0,INV-0000043,UPI,Cleared,admin,Normal,0,,Normal,,,
15-12-2025,2024-25,VCH-000044,Debit Note,Bengaluru Branch,Warehouse,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM003,24-inch Monitor,8528,1,11523.9,11523.9,18,1037.15,1037.15,0.0,INV-0000044,Bank,Cleared,accounts1,Normal,0,,Normal,,,
20-05-2025,2025-26,VCH-000045,Purchase,Ahmedabad Branch,Warehouse,SUP006,Western Tech Imports,27SUPPL6789F1Z0,Maharashtra,ITM003,24-inch Monitor,8528,1,9136.08,9136.08,18,822.25,822.25,0.0,INV-0000045,NEFT,Pending,admin,Normal,1,Wrong Tax Rate,High,,,Applied tax rate is inconsistent with the expected rate.
10-03-2027,2025-26,VCH-000046,Credit Note,Ahmedabad Branch,Warehouse,CUST002,Bright Retail,24ABCDE2345G1Z4,Gujarat,ITM008,1TB SSD,8523,1,5889.92,-5889.92,18,0.0,0.0,-1060.19,INV-0000046,NEFT,Pending,sales2,Normal,1,Unusual Amount,Medium,,,Transaction amount is statistically unusual compared with the baseline.
20-02-2026,2024-25,VCH-000047,Credit Note,Ahmedabad Branch,Warehouse,CUST006,Metro Office Mart,33ABCDE6789L1Z0,Tamil Nadu,ITM012,UPS 1KVA,8504,1,4946.98,-4946.98,18,0.0,0.0,-890.46,INV-0000047,Bank,Cleared,accounts1,Normal,0,,Normal,,,
12-01-2027,2024-25,VCH-000048,Sales,Ahmedabad Branch,Sales,CUST004,Delta Distributors,07ABCDE4567J1Z2,Delhi,ITM010,1080p Webcam,8525,3,4285.33,12855.99,18,0.0,0.0,2314.08,INV-0000048,Bank,Pending,sales1,Normal,0,,Normal,,,
08-08-2026,2025-26,VCH-000049,Sales,Ahmedabad Branch,IT Support,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM008,1TB SSD,8523,6,8640.88,51845.28,18,4666.08,4666.08,0.0,INV-0000049,UPI,Cleared,sales1,Normal,0,,Normal,,,
21-10-2026,2024-25,VCH-000050,Purchase,Bengaluru Branch,IT Support,SUP006,Western Tech Imports,27SUPPL6789F1Z0,Maharashtra,ITM003,24-inch Monitor,8528,6,8323.27,49939.62,18,4494.57,4494.57,0.0,INV-0000050,NEFT,Pending,admin,Normal,0,,Normal,,,
07-10-2026,2025-26,VCH-000051,Debit Note,Mumbai HO,Sales,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM003,24-inch Monitor,8528,1,12284.67,12284.67,18,1105.62,1105.62,0.0,INV-0000051,Credit,Cleared,accounts2,Normal,0,,Normal,,,
21-08-2025,2024-25,VCH-000052,Sales,Ahmedabad Branch,IT Support,CUST002,Bright Retail,24ABCDE2345G1Z4,Gujarat,ITM011,Network Switch,8517,2,8463.12,16926.24,18,0.0,0.0,3046.72,INV-0000052,Bank,Cleared,admin,Normal,0,,Normal,,,
22-12-2025,2025-26,VCH-000053,Purchase,Pune Branch,IT Support,SUP006,Western Tech Imports,27SUPPL6789F1Z0,Maharashtra,ITM008,1TB SSD,8523,1,5517.07,5517.07,18,496.54,496.54,0.0,INV-0000053,Credit,Cleared,sales1,Normal,0,,Normal,,,
07-03-2026,2024-25,VCH-000054,Sales,Pune Branch,IT Support,CUST002,Bright Retail,24ABCDE2345G1Z4,Gujarat,ITM010,1080p Webcam,8525,14,4126.8,57775.2,18,0.0,0.0,10399.54,INV-0000054,Credit,Pending,admin,Normal,0,,Normal,,,
30-03-2026,2024-25,VCH-000055,Payment,Bengaluru Branch,Sales,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM008,1TB SSD,8523,1,0.0,7088.76,18,0.0,0.0,0.0,INV-0000055,Bank,Cleared,purchase1,Normal,0,,Normal,,,
02-05-2025,2025-26,VCH-000056,Credit Note,Mumbai HO,Warehouse,CUST003,City Systems,29ABCDE3456H1Z3,Karnataka,ITM003,24-inch Monitor,8528,1,8393.62,-8393.62,18,0.0,0.0,-1510.85,INV-0000056,RTGS,Cleared,admin,Normal,0,,Normal,,,
04-05-2026,2025-26,VCH-000057,Sales,Ahmedabad Branch,IT Support,CUST002,Bright Retail,24ABCDE2345G1Z4,Gujarat,ITM010,1080p Webcam,8525,1,4533.34,4533.34,18,0.0,0.0,816.0,INV-0000057,Bank,Cleared,admin,Normal,1,Unusual Amount,Medium,,,Transaction amount is statistically unusual compared with the baseline.
22-07-2025,2024-25,VCH-000058,Credit Note,Ahmedabad Branch,Administration,CUST002,Bright Retail,24ABCDE2345G1Z4,Gujarat,ITM011,Network Switch,8517,1,6153.29,-6153.29,18,0.0,0.0,-1107.59,INV-0000058,RTGS,Partly Paid,accounts2,Normal,0,,Normal,,,
25-09-2026,2025-26,VCH-000059,Purchase,Bengaluru Branch,Administration,SUP002,Metro Wholesale,0,Gujarat,ITM009,Wi-Fi Router,8517,3,3318.93,9956.79,18,0.0,0.0,1792.22,INV-0000059,UPI,Cleared,accounts2,Normal,1,GST Mismatch,High,0,0,Recorded tax does not reconcile with the taxable amount and tax rate.
12-08-2026,2025-26,VCH-000060,Purchase,Pune Branch,Administration,SUP005,Shree Computer Supplies,33SUPPL5678E1Z1,Tamil Nadu,ITM001,Business Laptop,8471,10,38511.42,385114.2,18,0.0,0.0,69320.56,INV-0000060,NEFT,Cleared,sales2,Normal,1,Ledger Imbalance,Critical,,,Debit/credit relationship does not reconcile.
03-02-2027,2025-26,VCH-000061,Payment,Mumbai HO,Purchase,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM011,Network Switch,8517,1,0.0,19976.72,18,0.0,0.0,0.0,INV-0000061,RTGS,Pending,sales2,Normal,1,Unusual Amount,Medium,,,Transaction amount is statistically unusual compared with the baseline.
26-09-2026,2024-25,VCH-000062,Sales,Pune Branch,Warehouse,CUST006,Metro Office Mart,33ABCDE6789L1Z0,Tamil Nadu,ITM009,Wi-Fi Router,8517,12,5096.95,61163.4,18,0.0,0.0,11009.41,INV-0000062,Credit,Cleared,admin,Normal,1,Missing Reference,Medium,,,Required supporting reference is absent.
24-12-2025,2026-27,VCH-000063,Purchase,Mumbai HO,Sales,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM007,Laser Printer,8443,2,12014.75,24029.5,18,0.0,0.0,4325.31,INV-0000063,Bank,Partly Paid,sales1,Normal,0,,Normal,,,
08-03-2027,2024-25,VCH-000064,Sales,Ahmedabad Branch,Sales,CUST003,City Systems,29ABCDE3456H1Z3,Karnataka,ITM003,24-inch Monitor,8528,1,12042.6,12042.6,18,0.0,0.0,2167.67,INV-0057352,Bank,Pending,sales2,Normal,1,Duplicate Invoice,High,Unique invoice number,INV-0057352,Invoice identifier appears duplicated or reused.
25-01-2026,2026-27,VCH-000065,Purchase,Pune Branch,IT Support,SUP002,Metro Wholesale,24SUPPL2345B1Z4,Gujarat,ITM007,Laser Printer,8443,7,11959.47,83716.29,18,0.0,0.0,15068.93,INV-0000065,RTGS,Cleared,accounts2,Normal,1,Wrong Tax Rate,High,,,Applied tax rate is inconsistent with the expected rate.
24-11-2025,2024-25,VCH-000066,Purchase,Ahmedabad Branch,Warehouse,SUP005,Shree Computer Supplies,33SUPPL5678E1Z1,Tamil Nadu,ITM010,1080p Webcam,8525,1,2991.54,2991.54,18,0.0,0.0,538.48,INV-0000066,Credit,Cleared,sales1,Normal,0,,Normal,,,
22-01-2027,2024-25,VCH-000067,Sales,Bengaluru Branch,Purchase,CUST007,Nova Digital,36ABCDE7890M1Z9,Telangana,ITM008,1TB SSD,8523,3,8692.43,26077.29,18,0.0,0.0,4693.91,INV-0000067,Bank,Pending,admin,Normal,0,,Normal,,,
27-12-2025,2026-27,VCH-000068,Sales,Ahmedabad Branch,Warehouse,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM006,Wireless Mouse,8471,1,1432.11,1432.11,18,128.89,128.89,0.0,INV-0000068,Cash,Cleared,admin,Normal,0,,Normal,,,
26-05-2025,2025-26,VCH-000069,Sales,Mumbai HO,Administration,CUST005,Evergreen Solutions,27ABCDE5678K1Z1,Maharashtra,ITM007,Laser Printer,8443,12,16942.75,203313.0,18,18298.17,18298.17,0.0,INV-0000069,RTGS,Cleared,accounts1,Normal,0,,Normal,,,
09-03-2026,2026-27,VCH-000070,Sales Return,Pune Branch,IT Support,CUST004,Delta Distributors,07ABCDE4567J1Z2,Delhi,ITM011,Network Switch,8517,11,6815.84,-74974.24,18,0.0,0.0,-13495.36,INV-0000070,RTGS,Cleared,accounts2,Normal,0,,Normal,,,
02-11-2026,2025-26,VCH-000071,Purchase,Pune Branch,Administration,SUP003,Nova Electronics,07SUPPL3456C1Z3,Delhi,ITM008,1TB SSD,8523,3,6255.12,18765.36,18,0.0,0.0,3377.76,INV-0000071,NEFT,Pending,admin,Normal,1,Invalid GSTIN,High,,,GST identification value is syntactically or logically invalid.
17-08-2025,2024-25,VCH-000072,Payment,Pune Branch,Purchase,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM004,27-inch Monitor,8528,1,0.0,3953.45,18,0.0,0.0,0.0,INV-0000072,Credit,Cleared,purchase1,Normal,0,,Normal,,,
04-03-2026,2024-25,VCH-000073,Purchase,Bengaluru Branch,Sales,SUP006,Western Tech Imports,27SUPPL6789F1Z0,Maharashtra,ITM012,UPS 1KVA,8504,3,5245.43,15736.29,18,1416.27,1416.27,0.0,INV-0000073,RTGS,Cleared,sales1,Normal,0,,Normal,,,
04-07-2025,2024-25,VCH-000074,Purchase,Pune Branch,IT Support,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM003,24-inch Monitor,8528,8,9760.08,78080.64,18,0.0,0.0,14054.52,INV-0000074,Bank,Cleared,sales2,Normal,0,,Normal,,,
15-08-2026,2024-25,VCH-000075,Purchase,Mumbai HO,Sales,SUP002,Metro Wholesale,24SUPPL2345B1Z4,Gujarat,ITM006,Wireless Mouse,8471,9,995.08,8955.72,18,0.0,0.0,1612.03,INV-0000075,UPI,Cleared,accounts1,Normal,0,,Normal,,,
14-03-2026,2024-25,VCH-000076,Sales,Ahmedabad Branch,IT Support,CUST008,Prime Business Hub,08ABCDE8901N1Z8,Rajasthan,ITM008,1TB SSD,8523,7,7565.38,52957.66,18,0.0,0.0,9532.38,INV-0000076,RTGS,Cleared,accounts2,Normal,0,,Normal,,,
28-11-2025,2026-27,VCH-000077,Purchase,Bengaluru Branch,Purchase,SUP003,Nova Electronics,07SUPPL3456C1Z3,Delhi,ITM010,1080p Webcam,8525,14,2881.72,40344.08,18,0.0,0.0,7261.93,INV-0000077,NEFT,Cleared,accounts2,Normal,0,,Normal,,,
13-09-2025,2025-26,VCH-000078,Journal,Pune Branch,Warehouse,,,,,ITM004,27-inch Monitor,8528,1,0.0,218803.33,18,0.0,0.0,0.0,INV-0000078,Credit,Cleared,purchase1,Normal,0,,Normal,,,
18-05-2026,2026-27,VCH-000079,Purchase,Pune Branch,Sales,SUP002,Metro Wholesale,24SUPPL2345B1Z4,Gujarat,ITM006,Wireless Mouse,8471,15,909.42,13641.3,18,0.0,0.0,2455.43,INV-0000079,Credit,Cleared,accounts2,Normal,1,Round Amount,Low,,,Large exact-round transaction warrants manual review.
02-08-2026,2024-25,VCH-000080,Purchase,Ahmedabad Branch,IT Support,SUP001,Prime Components,27SUPPL1234A1Z5,Maharashtra,ITM006,Wireless Mouse,8471,2,1047.38,2094.76,18,188.53,188.53,0.0,INV-0000080,Credit,Cleared,admin,Normal,1,Suspicious User Activity,High,,,Transaction is associated with an unusual user/activity pattern.
16-02-2027,2024-25,VCH-000081,Debit Note,Mumbai HO,Sales,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM007,Laser Printer,8443,1,18171.1,18171.1,18,1635.4,1635.4,0.0,INV-0000081,NEFT,Cleared,sales1,Normal,0,,Normal,,,
14-02-2026,2024-25,VCH-000082,Sales Return,Pune Branch,Purchase,CUST004,Delta Distributors,07ABCDE4567J1Z2,Delhi,ITM007,Laser Printer,8443,8,12733.94,-101871.52,18,0.0,0.0,-18336.87,INV-0000082,Bank,Partly Paid,admin,Normal,1,Invalid GSTIN,High,,,GST identification value is syntactically or logically invalid.
27-07-2025,2025-26,VCH-000083,Purchase,Ahmedabad Branch,IT Support,SUP004,Galaxy Distribution,29SUPPL4567D1Z2,Karnataka,ITM007,Laser Printer,8443,8,10966.12,87728.96,18,0.0,0.0,15791.21,INV-0000083,Cash,Cleared,sales2,Normal,0,,Normal,,,
29-11-2026,2024-25,VCH-000084,Sales,Ahmedabad Branch,Sales,CUST001,Apex Infotech,27ABCDE1234F1Z5,Maharashtra,ITM006,Wireless Mouse,8471,10,1319.58,13195.8,18,1187.62,1187.62,0.0,INV-0000084,RTGS,Cleared,accounts2,Normal,0,,Normal,,,
04-07-2026,2025-26,VCH-000085,Credit Note,Bengaluru Branch,Administration,CUST005,Evergreen Solutions,27ABCDE5678K1Z1,Maharashtra,ITM001,Business Laptop,8471,1,37271.74,-37271.74,18,-3354.46,-3354.46,0.0,INV-0000085,Credit,Partly Paid,admin,Normal,0,,Normal,,,
25-08-2026,2024-25,VCH-000086,Payment,Mumbai HO,Administration,SUP003,Nova Electronics,07SUPPL3456C1Z3,Delhi,ITM001,Business Laptop,8471,1,0.0,65406.12,18,0.0,0.0,0.0,INV-0000086,RTGS,Cleared,purchase1,Normal,0,,Normal,,,
10-06-2025,2025-26,VCH-000087,Payment,Bengaluru Branch,Purchase,SUP001,Prime Components,27SUPPL1234A1Z5,Maharashtra,ITM010,1080p Webcam,8525,1,0.0,190416.53,18,0.0,0.0,0.0,INV-0000087,Credit,Cleared,accounts1,Normal,0,,Normal,,,
15-11-2025,2024-25,VCH-000088,Purchase,Bengaluru Branch,Sales,SUP001,Prime Components,27SUPPL1234A1Z5,Maharashtra,ITM003,24-inch Monitor,8528,6,9279.94,55679.64,18,5011.17,5011.17,0.0,INV-0000088,Bank,Pending,accounts2,Normal,0,,Normal,,,
